timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554837648555,8047,Register,201,,Thread Group 1-216,text,true,,358,344,732,732,https://csye6225-spring2019-zhangjin.me/user/register,8047,0,3195
1554837655228,1620,Register,201,,Thread Group 1-617,text,true,,358,344,751,751,https://csye6225-spring2019-zhangjin.me/user/register,1620,0,90
1554837649125,7723,Register,201,,Thread Group 1-271,text,true,,358,344,751,751,https://csye6225-spring2019-zhangjin.me/user/register,7723,0,5087
1554837649658,7192,Register,201,,Thread Group 1-313,text,true,,358,344,751,751,https://csye6225-spring2019-zhangjin.me/user/register,7192,0,4422
1554837648439,8427,Register,201,,Thread Group 1-203,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,8427,0,5539
1554837651873,4996,Register,201,,Thread Group 1-465,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,4996,0,2079
1554837653452,3417,Register,201,,Thread Group 1-504,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,3417,0,517
1554837654408,2461,Register,201,,Thread Group 1-554,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,2461,0,124
1554837646714,10159,Register,201,,Thread Group 1-33,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,10159,0,4926
1554837648052,8821,Register,201,,Thread Group 1-168,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,8821,0,3551
1554837647608,9267,Register,201,,Thread Group 1-123,text,true,,358,344,753,753,https://csye6225-spring2019-zhangjin.me/user/register,9267,0,4052
1554837649028,7861,Register,201,,Thread Group 1-264,text,true,,358,344,754,754,https://csye6225-spring2019-zhangjin.me/user/register,7860,0,2519
1554837655129,1769,Register,201,,Thread Group 1-634,text,true,,358,344,756,756,https://csye6225-spring2019-zhangjin.me/user/register,1769,0,205
1554837647716,9302,Register,201,,Thread Group 1-134,text,true,,358,344,761,761,https://csye6225-spring2019-zhangjin.me/user/register,9302,0,3927
1554837655104,2110,Register,201,,Thread Group 1-629,text,true,,358,344,779,779,https://csye6225-spring2019-zhangjin.me/user/register,2109,0,157
1554837655091,2204,Register,201,,Thread Group 1-628,text,true,,358,344,788,788,https://csye6225-spring2019-zhangjin.me/user/register,2203,0,227
1554837655152,2244,Register,201,,Thread Group 1-640,text,true,,358,344,796,796,https://csye6225-spring2019-zhangjin.me/user/register,2244,0,219
1554837654766,2641,Register,201,,Thread Group 1-597,text,true,,358,344,797,797,https://csye6225-spring2019-zhangjin.me/user/register,2641,0,583
1554837655228,2184,Register,201,,Thread Group 1-619,text,true,,358,344,797,797,https://csye6225-spring2019-zhangjin.me/user/register,2184,0,100
1554837655197,2242,Register,201,,Thread Group 1-644,text,true,,358,344,801,801,https://csye6225-spring2019-zhangjin.me/user/register,2242,0,258
1554837655138,2300,Register,201,,Thread Group 1-636,text,true,,358,344,800,800,https://csye6225-spring2019-zhangjin.me/user/register,2300,0,186
1554837646648,11503,Register,201,,Thread Group 1-6,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,11503,0,5018
1554837650734,7418,Register,201,,Thread Group 1-426,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,7418,0,2948
1554837655144,3013,Register,201,,Thread Group 1-638,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,3013,0,166
1554837655510,2647,Register,201,,Thread Group 1-689,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,2647,0,485
1554837655133,3027,Register,201,,Thread Group 1-635,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,3027,0,225
1554837646867,11293,Register,201,,Thread Group 1-50,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,11293,0,4700
1554837646729,11433,Register,201,,Thread Group 1-35,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,11433,0,4865
1554837646862,11317,Register,201,,Thread Group 1-49,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,11317,0,4881
1554837651538,6638,Register,201,,Thread Group 1-458,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,6638,0,235
1554837655181,3003,Register,201,,Thread Group 1-642,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,3003,0,325
1554837648511,9673,Register,201,,Thread Group 1-214,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,9673,0,3257
1554837656360,1843,Register,201,,Thread Group 1-722,text,true,,358,344,880,880,https://csye6225-spring2019-zhangjin.me/user/register,1843,0,110
1554837655708,2463,Register,201,,Thread Group 1-694,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,2463,0,279
1554837647040,11129,Register,201,,Thread Group 1-67,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,11129,0,4684
1554837647352,10816,Register,201,,Thread Group 1-98,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,10816,0,4384
1554837655476,2691,Register,201,,Thread Group 1-676,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,2691,0,584
1554837654398,3766,Register,201,,Thread Group 1-551,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,3766,0,107
1554837647659,10506,Register,201,,Thread Group 1-128,text,true,,358,344,879,879,https://csye6225-spring2019-zhangjin.me/user/register,10505,0,4078
1554837655526,2723,CreateNote,201,,Thread Group 1-19,text,true,,383,432,885,885,https://csye6225-spring2019-zhangjin.me/note,2718,0,468
1554837655565,2754,CreateNote,201,,Thread Group 1-64,text,true,,383,432,887,887,https://csye6225-spring2019-zhangjin.me/note,2754,0,436
1554837655529,2815,CreateNote,201,,Thread Group 1-108,text,true,,383,432,887,887,https://csye6225-spring2019-zhangjin.me/note,2814,0,474
1554837655555,2807,CreateNote,201,,Thread Group 1-22,text,true,,383,432,893,893,https://csye6225-spring2019-zhangjin.me/note,2807,0,468
1554837656360,2321,Register,201,,Thread Group 1-718,text,true,,358,344,953,953,https://csye6225-spring2019-zhangjin.me/user/register,2321,0,149
1554837654615,4066,Register,201,,Thread Group 1-576,text,true,,358,344,953,953,https://csye6225-spring2019-zhangjin.me/user/register,4066,0,644
1554837647294,11406,Register,201,,Thread Group 1-88,text,true,,358,344,958,958,https://csye6225-spring2019-zhangjin.me/user/register,11406,0,4445
1554837655580,3128,Register,201,,Thread Group 1-692,text,true,,358,344,959,959,https://csye6225-spring2019-zhangjin.me/user/register,3128,0,477
1554837646793,11944,Register,201,,Thread Group 1-42,text,true,,358,344,966,966,https://csye6225-spring2019-zhangjin.me/user/register,11944,0,4946
1554837647947,10861,Register,201,,Thread Group 1-153,text,true,,358,344,979,979,https://csye6225-spring2019-zhangjin.me/user/register,10861,0,3775
1554837647948,10860,Register,201,,Thread Group 1-146,text,true,,358,344,979,979,https://csye6225-spring2019-zhangjin.me/user/register,10860,0,3783
1554837655570,3482,CreateNote,201,,Thread Group 1-59,text,true,,383,432,1000,1000,https://csye6225-spring2019-zhangjin.me/note,3478,0,456
1554837654918,4155,Register,201,,Thread Group 1-600,text,true,,358,344,1000,1000,https://csye6225-spring2019-zhangjin.me/user/register,4155,0,173
1554837655558,3537,CreateNote,201,,Thread Group 1-81,text,true,,383,432,1000,1000,https://csye6225-spring2019-zhangjin.me/note,3537,0,499
1554837655570,3536,CreateNote,201,,Thread Group 1-91,text,true,,383,432,1000,1000,https://csye6225-spring2019-zhangjin.me/note,3535,0,504
1554837655420,3793,Register,201,,Thread Group 1-663,text,true,,358,344,1000,1000,https://csye6225-spring2019-zhangjin.me/user/register,3793,0,643
1554837655425,3793,Register,201,,Thread Group 1-665,text,true,,358,344,1000,1000,https://csye6225-spring2019-zhangjin.me/user/register,3793,0,648
1554837655866,3896,Register,201,,Thread Group 1-697,text,true,,358,344,1000,1000,https://csye6225-spring2019-zhangjin.me/user/register,3896,0,286
1554837655574,4188,CreateNote,201,,Thread Group 1-23,text,true,,383,432,1000,1000,https://csye6225-spring2019-zhangjin.me/note,4183,0,459
1554837655561,4217,CreateNote,201,,Thread Group 1-12,text,true,,383,432,1000,1000,https://csye6225-spring2019-zhangjin.me/note,4217,0,512
